material_entity_id,material_entity_type,preparations,disposition,institution_code,institution_id,collection_code,collection_id,owner_institution_code,catalog_number,record_number,recorded_by,recorded_by_id,associated_references,associated_sequences,other_catalog_numbers
org_point_30_1.04_L375,Organism,,,,,,,,,,,,,,
org_point_31_1.04_L375,Organism,,,,,,,,,,,,,,
org_point_32_1.04_L375,Organism,,,,,,,,,,,,,,
org_point_33_1.04_L375,Organism,,,,,,,,,,,,,,
org_point_34_1.04_L375,Organism,,,,,,,,,,,,,,
org_point_35_1.04_L375,Organism,,,,,,,,,,,,,,
org_point_36_1.04_L375,Organism,,,,,,,,,,,,,,
org_point_37_1.04_L375,Organism,,,,,,,,,,,,,,
org_point_38_1.04_L375,Organism,,,,,,,,,,,,,,
org_point_39_1.04_L375,Organism,,,,,,,,,,,,,,
org_point_40_1.04_L375,Organism,,,,,,,,,,,,,,
org_point_41_1.04_L375,Organism,,,,,,,,,,,,,,
org_point_42_1.04_L375,Organism,,,,,,,,,,,,,,
org_point_43_1.04_L375,Organism,,,,,,,,,,,,,,
org_point_44_1.04_L375,Organism,,,,,,,,,,,,,,
org_point_45_1.04_L375,Organism,,,,,,,,,,,,,,
org_point_46_1.04_L375,Organism,,,,,,,,,,,,,,
org_point_47_1.04_L375,Organism,,,,,,,,,,,,,,
org_point_48_1.04_L375,Organism,,,,,,,,,,,,,,
org_point_49_1.04_L375,Organism,,,,,,,,,,,,,,
org_point_50_1.04_L375,Organism,,,,,,,,,,,,,,
org_point_51_1.04_L375,Organism,,,,,,,,,,,,,,
org_point_52_1.04_L375,Organism,,,,,,,,,,,,,,
org_point_53_1.04_L375,Organism,,,,,,,,,,,,,,
org_point_54_1.04_L375,Organism,,,,,,,,,,,,,,
org_point_55_1.04_L375,Organism,,,,,,,,,,,,,,
org_point_56_1.04_L375,Organism,,,,,,,,,,,,,,
org_point_57_1.04_L375,Organism,,,,,,,,,,,,,,
org_point_58_1.04_L375,Organism,,,,,,,,,,,,,,
org_point_59_1.04_L375,Organism,,,,,,,,,,,,,,
org_point_60_1.04_L375,Organism,,,,,,,,,,,,,,
org_point_61_1.04_L375,Organism,,,,,,,,,,,,,,
org_point_62_1.04_L375,Organism,,,,,,,,,,,,,,
org_point_63_1.04_L375,Organism,,,,,,,,,,,,,,
org_point_64_1.04_L375,Organism,,,,,,,,,,,,,,
org_point_65_1.04_L375,Organism,,,,,,,,,,,,,,
org_point_66_1.04_L375,Organism,,,,,,,,,,,,,,
org_point_67_1.04_L375,Organism,,,,,,,,,,,,,,
org_point_68_1.04_L375,Organism,,,,,,,,,,,,,,
org_point_69_1.04_L375,Organism,,,,,,,,,,,,,,
org_point_70_1.04_L375,Organism,,,,,,,,,,,,,,
org_point_71_1.04_L375,Organism,,,,,,,,,,,,,,
