georeference_id,location_id,decimal_latitude,decimal_longitude,geodetic_datum,coordinate_uncertainty_in_meters,coordinate_precision,point_radius_spatial_fit,footprint_wkt,footprint_srs,footprint_spatial_fit,georeferenced_by,georeferenced_date,georeference_protocol,georeference_sources,georeference_remarks,preferred_spatial_representation
14.11,14.11,-22.3266667,113.7371667,,50,,,,,,,,,,,
14.12,14.12,-22.3071667,113.746,,50,,,,,,,,,,,
14.13,14.13,-22.2866667,113.7416667,,50,,,,,,,,,,,
15.01,15.01,-22.17344,113.7915,,50,,,,,,,,,,,
15.02,15.02,-22.16882,113.7941,,50,,,,,,,,,,,
15.05,15.05,-22.16173,113.78335,,50,,,,,,,,,,,
15.07,15.07,-22.13639,113.79163,,50,,,,,,,,,,,
15.12,15.12,-22.14381158,113.7899349,,50,,,,,,,,,,,
16.01,16.01,-22.12155,113.80074,,50,,,,,,,,,,,
16.02,16.02,-22.11624,113.79192,,50,,,,,,,,,,,
16.03,16.03,-22.10669,113.7967,,50,,,,,,,,,,,
16.04,16.04,-22.09742,113.8081,,50,,,,,,,,,,,
16.05,16.05,-22.0856,113.82563,,50,,,,,,,,,,,
17.08,17.08,-22.0943763,113.8193929,,50,,,,,,,,,,,
18.01,18.01,-22.06954369,113.812266,,50,,,,,,,,,,,
18.02,18.02,-22.06517499,113.8120284,,50,,,,,,,,,,,
18.03,18.03,-22.06563485,113.8082274,,50,,,,,,,,,,,
18.04,18.04,-22.06172601,113.810603,,50,,,,,,,,,,,
18.07,18.07,-22.06264574,113.8281828,,50,,,,,,,,,,,
18.08,18.08,-22.0725328,113.823194,,50,,,,,,,,,,,
19.01,19.01,-22.01347,113.82289,,50,,,,,,,,,,,
19.02,19.02,-22.00792203,113.821531,,50,,,,,,,,,,,
19.03,19.03,-22.00286353,113.8305585,,50,,,,,,,,,,,
19.04,19.04,-22.00056422,113.8255696,,50,,,,,,,,,,,
19.05,19.05,-21.99757511,113.8291331,,50,,,,,,,,,,,
19.08,19.08,-21.99412613,113.8234315,,50,,,,,,,,,,,
23.01,23.01,-21.68647769,114.0835652,,50,,,,,,,,,,,
23.02,23.02,-21.68555797,114.0785763,,50,,,,,,,,,,,
23.03,23.03,-21.68233893,114.0811896,,50,,,,,,,,,,,
23.04,23.04,-21.67980968,114.0845155,,50,,,,,,,,,,,
23.06,23.06,-21.67475118,114.0944932,,50,,,,,,,,,,,
23.09,23.09,-21.706867,114.0747,,50,,,,,,,,,,,
30.01,30.01,-21.91122,113.90413,,50,,,,,,,,,,,
30.02,30.02,-21.90687,113.90722,,50,,,,,,,,,,,
30.03,30.03,-21.89999,113.91082,,50,,,,,,,,,,,
30.04,30.04,-21.89513,113.91423,,50,,,,,,,,,,,
30.05,30.05,-21.88983,113.91801,,50,,,,,,,,,,,
30.06,30.06,-21.8876,113.9202,,50,,,,,,,,,,,
31.01,31.01,-21.6873167,114.08985,,50,,,,,,,,,,,
31.02,31.02,-21.6919667,114.09,,50,,,,,,,,,,,
31.03,31.03,-21.69445,114.0887667,,50,,,,,,,,,,,
31.04,31.04,-21.69635,114.0877667,,50,,,,,,,,,,,
31.05,31.05,-21.70045,114.0814333,,50,,,,,,,,,,,
31.06,31.06,-21.7025167,114.0774833,,50,,,,,,,,,,,
