deploymentID,locationID,locationName,latitude,longitude,coordinateUncertainty,deploymentStart,deploymentEnd,setupBy,cameraID,cameraModel,cameraDelay,cameraHeight,cameraTilt,cameraHeading,detectionDistance,timestampIssues,baitUse,featureType,habitat,deploymentGroups,deploymentTags,deploymentComments
6.01,6,Ningaloo Marine Park,-22.77091,113.53596,50,2019-08-12T13:41:00Z,2019-08-12T13:41:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
6.02,6,Ningaloo Marine Park,-22.75818,113.55367,50,2019-08-12T13:31:00Z,2019-08-12T13:31:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
6.03,6,Ningaloo Marine Park,-22.75754,113.54189,50,2019-08-12T13:25:00Z,2019-08-12T13:25:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
6.04,6,Ningaloo Marine Park,-22.75175065,113.5402541,50,2019-08-12T13:21:00Z,2019-08-12T13:21:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
6.05,6,Ningaloo Marine Park,-22.7411738,113.5412044,50,2019-08-12T13:15:00Z,2019-08-12T13:15:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
6.12,6,Ningaloo Marine Park,-22.73059695,113.541917,50,2019-08-12T13:11:00Z,2019-08-12T13:11:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
7.01,7,Ningaloo Marine Park,-22.73427585,113.5509445,50,2019-08-12T08:24:00Z,2019-08-12T08:24:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
7.02,7,Ningaloo Marine Park,-22.7317466,113.5533202,50,2019-08-12T08:21:00Z,2019-08-12T08:21:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
7.03,7,Ningaloo Marine Park,-22.72507859,113.5554582,50,2019-08-12T08:16:00Z,2019-08-12T08:16:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
7.04,7,Ningaloo Marine Park,-22.72760784,113.5630603,50,2019-08-12T08:13:00Z,2019-08-12T08:13:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
7.05,7,Ningaloo Marine Park,-22.72875749,113.5732756,50,2019-08-12T08:08:00Z,2019-08-12T08:08:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
7.08,7,Ningaloo Marine Park,-22.73059695,113.5756513,50,2019-08-12T08:03:00Z,2019-08-12T08:03:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
8.01,8,Ningaloo Marine Park,-22.71266228,113.5497567,50,2019-08-12T10:00:00Z,2019-08-12T10:00:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
8.02,8,Ningaloo Marine Park,-22.70277523,113.5559334,50,2019-08-12T10:06:00Z,2019-08-12T10:06:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
8.05,8,Ningaloo Marine Park,-22.7017,113.57994,50,2019-08-12T10:31:00Z,2019-08-12T10:31:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
8.06,8,Ningaloo Marine Park,-22.69621,113.58157,50,2019-08-12T10:27:00Z,2019-08-12T10:27:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
8.07,8,Ningaloo Marine Park,-22.69542,113.57783,50,2019-08-12T10:23:00Z,2019-08-12T10:23:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
8.12,8,Ningaloo Marine Park,-22.69932625,113.547381,50,2019-08-12T10:11:00Z,2019-08-12T10:11:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
9.01,9,Ningaloo Marine Park,-22.70139564,113.5359779,50,2019-08-12T11:16:00Z,2019-08-12T11:16:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
9.02,9,Ningaloo Marine Park,-22.7025453,113.5214865,50,2019-08-12T11:00:00Z,2019-08-12T11:00:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
9.05,9,Ningaloo Marine Park,-22.69150858,113.5248124,50,2019-08-12T11:05:00Z,2019-08-12T11:05:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
9.06,9,Ningaloo Marine Park,-22.6931181,113.5319393,50,2019-08-12T11:10:00Z,2019-08-12T11:10:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
9.07,9,Ningaloo Marine Park,-22.71082283,113.5255251,50,2019-08-12T10:52:00Z,2019-08-12T10:52:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
9.08,9,Ningaloo Marine Park,-22.71220242,113.5136468,50,2019-08-12T10:45:00Z,2019-08-12T10:45:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
