mediaID,deploymentID,captureMethod,timestamp,filePath,filePublic,fileName,fileMediatype,exifData,favorite,mediaComments
4.11_R377,4.11,motionDetection,2019-08-12T08:33:00Z,https://data.csiro.au/collection/,true,4.11_R377.avi,video/x-msvideo,,,
4.12_L375,4.12,motionDetection,2019-08-12T08:56:00Z,https://data.csiro.au/collection/,true,4.12_L375.avi,video/x-msvideo,,,
4.12_R376,4.12,motionDetection,2019-08-12T08:56:00Z,https://data.csiro.au/collection/,true,4.12_R376.avi,video/x-msvideo,,,
5.02_L378,5.02,motionDetection,2019-08-12T15:37:00Z,https://data.csiro.au/collection/,true,5.02_L378.avi,video/x-msvideo,,,
5.02_R377,5.02,motionDetection,2019-08-12T15:37:00Z,https://data.csiro.au/collection/,true,5.02_R377.avi,video/x-msvideo,,,
5.03_L372,5.03,motionDetection,2019-08-12T15:42:00Z,https://data.csiro.au/collection/,true,5.03_L372.avi,video/x-msvideo,,,
5.03_R371,5.03,motionDetection,2019-08-12T15:42:00Z,https://data.csiro.au/collection/,true,5.03_R371.avi,video/x-msvideo,,,
5.07_L375,5.07,motionDetection,2019-08-12T15:49:00Z,https://data.csiro.au/collection/,true,5.07_L375.avi,video/x-msvideo,,,
5.07_R376,5.07,motionDetection,2019-08-12T15:49:00Z,https://data.csiro.au/collection/,true,5.07_R376.avi,video/x-msvideo,,,
5.08_L367,5.08,motionDetection,2019-08-12T15:53:00Z,https://data.csiro.au/collection/,true,5.08_L367.avi,video/x-msvideo,,,
5.08_R368,5.08,motionDetection,2019-08-12T15:53:00Z,https://data.csiro.au/collection/,true,5.08_R368.avi,video/x-msvideo,,,
5.11_L369,5.11,motionDetection,2019-08-12T16:05:00Z,https://data.csiro.au/collection/,true,5.11_L369.avi,video/x-msvideo,,,
5.11_R370,5.11,motionDetection,2019-08-12T16:05:00Z,https://data.csiro.au/collection/,true,5.11_R370.avi,video/x-msvideo,,,
5.13_L373,5.13,motionDetection,2019-08-12T16:11:00Z,https://data.csiro.au/collection/,true,5.13_L373.avi,video/x-msvideo,,,
6.01_L378,6.01,motionDetection,2019-08-12T13:41:00Z,https://data.csiro.au/collection/,true,6.01_L378.avi,video/x-msvideo,,,
6.01_R377,6.01,motionDetection,2019-08-12T13:41:00Z,https://data.csiro.au/collection/,true,6.01_R377.avi,video/x-msvideo,,,
6.02_L372,6.02,motionDetection,2019-08-12T13:31:00Z,https://data.csiro.au/collection/,true,6.02_L372.avi,video/x-msvideo,,,
